,Posicion,Numero,Equipo,TiempoMejor,Gap,Intervalo,Vueltas,Velocidad,Paradas,TiempoTotal
0,1,17,PINK ARIZA CIRCUIT FRACING,66.69000005722046,0.0,0.0,18,59.380001068115234,0.0,1238.257999420166
1,2,21,VIRTUAL RACERS TEAM,66.80999994277954,0.11999999731779099,0.11999999731779099,13,59.27000045776367,1.0,911.2279996871948
2,3,4,CVKS PATRIMI,66.81699991226196,0.12700000405311584,0.007000000216066837,16,59.27000045776367,1.0,1242.6020011901855
3,4,6,HISPANO ALEMAN RACING TEAM,66.91300010681152,0.22300000488758087,0.09600000083446503,18,59.18000030517578,0.0,1267.9619998931885
4,5,1,LMKC ENDURANCE,66.97700023651123,0.28700000047683716,0.06400000303983688,16,59.119998931884766,1.0,1251.2789993286133
5,6,2,LMKC AF KARTING,67.04699993133545,0.3569999933242798,0.07000000029802322,18,59.060001373291016,0.0,1247.4770011901855
6,7,3,CVKS AUTOS DIRECT,67.07800006866455,0.3880000114440918,0.03099999949336052,17,59.040000915527344,0.0,1211.1870002746582
7,8,12,CREATIA DEPILSOFT,67.08799982070923,0.39800000190734863,0.009999999776482582,15,59.029998779296875,1.0,1210.5749998092651
8,9,13,CKM FUOKO- BERYLO VIAJES,67.15299987792969,0.46299999952316284,0.06499999761581421,16,58.970001220703125,1.0,1246.7840003967285
9,10,8,EIRIZ RACING PRO,67.15299987792969,0.46299999952316284,0.0,18,58.970001220703125,0.0,1260.3219999969006
10,11,11,CREATIA ENDURANCE TEAM,67.16800022125244,0.4779999852180481,0.014999999664723873,15,58.959999084472656,1.0,1210.2930002212524
11,12,22,BLACK RACING STAR,67.19500017166138,0.5049999952316284,0.027000000700354576,18,58.93000030517578,0.0,1230.670000076294
12,13,10,CREATIA RACING TEAM,67.22399997711182,0.5339999794960022,0.028999999165534973,15,58.90999984741211,1.0,1212.7700004577637
13,14,9,PROJECT EQTOX,67.50500011444092,0.8149999976158142,0.2809999883174896,15,58.65999984741211,1.0,1202.4649999141693
14,15,5,CVKS COBRA KAI,67.50500011444092,0.8149999976158142,0.0,18,58.65999984741211,0.0,1248.0929985046387
15,16,16,FRACING ENDURANCE,67.53499984741211,0.8450000286102295,0.029999999329447746,18,58.63999938964844,0.0,1245.6749992370605
16,17,23,SPARTAN RT,67.57800006866455,0.8880000114440918,0.0430000014603138,18,58.599998474121094,0.0,1246.9869995117188
17,18,19,ALL KARTING,67.75500011444092,1.065000057220459,0.1770000010728836,18,58.45000076293945,0.0,1248.386001586914
18,19,7,HISPANO ALEMAN PEMEBLA RACING,67.78700017929077,1.097000002861023,0.03200000151991844,16,58.41999816894531,1.0,1266.9079999923706
19,20,18,AIRBUS HAMBURG,67.80000019073486,1.1100000143051147,0.013000000268220901,18,58.40999984741211,0.0,1254.6189994812012
20,21,15,CKM GV RACING- TALLERES ROKY,67.83699989318848,1.1469999551773071,0.03700000047683716,16,58.380001068115234,1.0,1258.5400009155273
21,22,20,GO KART SAN BERNARDO,67.8769998550415,1.187000036239624,0.03999999910593033,15,58.34000015258789,1.0,1210.112000465393
22,23,14,CKM REFUGIO CANALLA- ROUTE 54,67.88299989700317,1.1929999589920044,0.006000000052154064,13,58.34000015258789,2.0,1243.1780014038086
23,24,24,PORTALMOTERO,68.29100036621094,1.6009999513626099,0.40799999237060547,15,57.9900016784668,1.0,1235.439998626709
24,25,25,AURA AM KT,68.65900039672852,1.968999981880188,0.36800000071525574,18,57.68000030517578,0.0,1266.3460001945496
