,Posicion,Numero,Equipo,Vueltas,Gap,Intervalo,TiempoMejor,Velocidad,TiempoTotal,Paradas
0,1,4,CVKS PATRIMI,1232,,,66.31199979782104,56.459999084472656,86405.9889998436,22
1,2,1,LMKC ENDURANCE,1231,1 Vuelta,1 Vuelta,66.36100006103516,56.41999816894531,86407.12200021744,22
2,3,11,CREATIA ENDURANCE TEAM,1231,1 Vuelta,40.062,66.49100017547607,56.38999938964844,86447.18399810791,22
3,4,10,CREATIA RACING TEAM,1229,3 Vueltas,2 Vueltas,66.25,56.29999923706055,86450.22100067139,22
4,5,12,CREATIA DEPILSOFT,1229,3 Vueltas,21.078,66.34000015258789,56.279998779296875,86471.29899978638,22
5,6,8,EIRIZ RACING PRO,1228,4 Vueltas,1 Vuelta,66.59800004959106,56.2599983215332,86439.02000045776,22
6,7,6,HISPANO ALEMAN RACING TEAM,1226,6 Vueltas,2 Vueltas,66.6100001335144,56.18000030517578,86410.60099983215,22
7,8,17,PINK ARIZA CIRCUIT FRACING,1226,6 Vueltas,17.914,66.7480001449585,56.16999816894531,86428.51499938965,22
8,9,22,BLACK RACING STAR,1224,8 Vueltas,2 Vueltas,66.76700019836426,56.06999969482422,86451.2379989624,22
9,10,13,CKM FUOKO- BERYLO VIAJES,1222,10 Vueltas,2 Vueltas,66.77699995040894,55.97999954223633,86443.51100158691,22
10,11,9,PROJECT EQTOX,1220,12 Vueltas,2 Vueltas,66.59100008010864,55.880001068115234,86461.1139999628,22
11,12,3,CVKS AUTOS DIRECT,1217,15 Vueltas,3 Vueltas,66.8439998626709,55.7599983215332,86430.375,22
12,13,2,LMKC AF KARTING,1214,18 Vueltas,3 Vueltas,66.74599981307983,55.599998474121094,86461.86899995804,22
13,14,21,VIRTUAL RACERS TEAM,1213,19 Vueltas,1 Vuelta,66.78000020980835,55.59000015258789,86407.52199983597,22
14,15,5,CVKS COBRA KAI,1211,21 Vueltas,2 Vueltas,66.76700019836426,55.47999954223633,86441.89500045776,22
15,16,14,CKM REFUGIO CANALLA- ROUTE 54,1210,22 Vueltas,1 Vuelta,67.59800004959106,55.439998626708984,86429.91600036621,22
16,17,25,AURA AM KT,1210,22 Vueltas,31.556,67.27299976348877,55.41999816894531,86461.47200000286,22
17,18,20,GO KART SAN BERNARDO,1209,23 Vueltas,1 Vuelta,67.30000019073486,55.38999938964844,86432.70299911499,22
18,19,23,SPARTAN RT,1209,23 Vueltas,19.919,67.00699996948242,55.380001068115234,86452.62200164795,22
19,20,19,ALL KARTING,1207,25 Vueltas,2 Vueltas,67.15399980545044,55.29999923706055,86432.56900024414,22
20,21,16,FRACING ENDURANCE,1207,25 Vueltas,10.125,67.26000022888184,55.290000915527344,86442.69400024414,22
21,22,15,CKM GV RACING- TALLERES ROKY,1203,29 Vueltas,4 Vueltas,67.55700016021729,55.099998474121094,86465.84700012207,22
22,23,18,AIRBUS HAMBURG,1202,30 Vueltas,1 Vuelta,66.8600001335144,55.08000183105469,86420.44400024414,22
23,24,7,HISPANO ALEMAN PEMEBLA RACING,1196,36 Vueltas,6 Vueltas,67.76599979400635,54.79999923706055,86421.26499938965,22
24,25,24,PORTALMOTERO,1171,61 Vueltas,25 Vueltas,67.875,53.650001525878906,86440.9230003357,23
