,Stint,Vuelta,PitIn,TiempoParadaAc,TiempoStint,Vueltas,Piloto,TiempoPilotoAc,TiempoParada,PitOut,NumEquipo,Equipo
0,1,16,1169.0,150.0,1169.0,16,GERMAN MUÑOZ,1169.0,150.94000053405762,1320.0,1,LMKC ENDURANCE
1,2,106,7438.0,301.0,6118.0,90,GERMAN MUÑOZ,7287.0,150.9050006866455,7589.0,1,LMKC ENDURANCE
2,3,215,15006.0,453.0,7417.0,109,GERMAN MUÑOZ,14704.0,151.2469997406006,15157.0,1,LMKC ENDURANCE
3,4,229,16116.0,603.0,958.0,14,GERARD SOTO,958.0,150.70400047302246,16267.0,1,LMKC ENDURANCE
4,5,346,24193.0,754.0,7926.0,117,GERARD SOTO,8885.0,150.89599990844727,24344.0,1,LMKC ENDURANCE
5,6,454,31643.0,905.0,7299.0,108,GERARD SOTO,16184.0,151.24099922180176,31794.0,1,LMKC ENDURANCE
6,7,573,39840.0,1056.0,8045.0,119,CHEMA VAZQUEZ,8045.0,150.6860008239746,39991.0,1,LMKC ENDURANCE
7,8,698,48408.0,1207.0,8417.0,125,CHEMA VAZQUEZ,16462.0,151.11400032043457,48559.0,1,LMKC ENDURANCE
8,9,717,49845.0,1358.0,1286.0,19,JOSE BURILLO,1286.0,150.35600090026855,49996.0,1,LMKC ENDURANCE
9,10,732,51008.0,1508.0,1012.0,15,JOSE BURILLO,2298.0,150.80100059509277,51159.0,1,LMKC ENDURANCE
10,11,830,57757.0,1659.0,6598.0,98,JOSE BURILLO,8896.0,150.99099922180176,57908.0,1,LMKC ENDURANCE
11,12,950,65934.0,1811.0,8026.0,120,JOSE BURILLO,16923.0,151.6889991760254,66086.0,1,LMKC ENDURANCE
12,13,959,66698.0,1963.0,612.0,9,GERARD SOTO,16796.0,151.54500007629395,66850.0,1,LMKC ENDURANCE
13,14,1040,72275.0,2113.0,5425.0,81,GERARD SOTO,22221.0,150.80200004577637,72426.0,1,LMKC ENDURANCE
14,15,1074,74701.0,2264.0,2275.0,34,CHEMA VAZQUEZ,18738.0,150.66900062561035,74852.0,1,LMKC ENDURANCE
15,16,1158,80485.0,2415.0,5632.0,84,GERMAN MUÑOZ,20337.0,150.72999954223633,80636.0,1,LMKC ENDURANCE
16,17,1167,81240.0,2566.0,604.0,9,JOSE BURILLO,17527.0,150.85099983215332,81391.0,1,LMKC ENDURANCE
17,18,1176,81993.0,2717.0,602.0,9,JOSE BURILLO,18129.0,151.0629997253418,82144.0,1,LMKC ENDURANCE
18,19,1185,82752.0,2867.0,607.0,9,JOSE BURILLO,18737.0,150.73500061035156,82903.0,1,LMKC ENDURANCE
19,20,1190,83242.0,3019.0,338.0,5,JOSE BURILLO,19076.0,151.72800064086914,83393.0,1,LMKC ENDURANCE
20,21,1207,84533.0,3170.0,1139.0,17,JOSE BURILLO,20216.0,150.79299926757812,84684.0,1,LMKC ENDURANCE
21,22,1220,85563.0,3322.0,878.0,13,JOSE BURILLO,21095.0,151.61800003051758,85714.0,1,LMKC ENDURANCE
22,23,1231,86407.0,0.0,692.0,11,JOSE BURILLO,21787.0,0.0,0.0,1,LMKC ENDURANCE
23,1,104,7142.0,152.0,7142.0,104,JAVI HARO,7142.0,152.52199935913086,7295.0,2,LMKC AF KARTING
24,2,120,8400.0,304.0,1105.0,16,JUAN LUIS BAREA,1105.0,151.79400062561035,8552.0,2,LMKC AF KARTING
25,3,173,12205.0,456.0,3653.0,53,JUAN LUIS BAREA,4758.0,151.70100021362305,12357.0,2,LMKC AF KARTING
26,4,279,19626.0,607.0,7269.0,106,Mª JOSE MENENDEZ,7269.0,151.56999969482422,19778.0,2,LMKC AF KARTING
27,5,302,21376.0,758.0,1598.0,23,LUIGI VIGNERI,1598.0,151.20299911499023,21527.0,2,LMKC AF KARTING
28,6,374,26493.0,909.0,4966.0,72,LUIGI VIGNERI,6564.0,150.64100074768066,26644.0,2,LMKC AF KARTING
29,7,478,33792.0,1061.0,7147.0,104,DAVID GUERRA,7147.0,152.46900177001953,33944.0,2,LMKC AF KARTING
30,8,523,37063.0,1215.0,3118.0,45,JOSE IGNACIO RAMOS,3118.0,153.4990005493164,37216.0,2,LMKC AF KARTING
31,9,607,42983.0,1367.0,5766.0,84,JOSE IGNACIO RAMOS,8885.0,151.82299995422363,43135.0,2,LMKC AF KARTING
32,10,705,49745.0,1518.0,6610.0,98,JAVI HARO,13752.0,151.29199981689453,49896.0,2,LMKC AF KARTING
33,11,811,57131.0,1670.0,7234.0,106,JUAN LUIS BAREA,11993.0,151.97999954223633,57283.0,2,LMKC AF KARTING
34,12,907,63849.0,1822.0,6566.0,96,Mª JOSE MENENDEZ,13835.0,152.38899993896484,64002.0,2,LMKC AF KARTING
35,13,1012,71193.0,1975.0,7190.0,105,LUIGI VIGNERI,13755.0,152.1959991455078,71345.0,2,LMKC AF KARTING
36,14,1057,74428.0,2126.0,3083.0,45,DAVID GUERRA,10231.0,151.29599952697754,74580.0,2,LMKC AF KARTING
37,15,1112,78327.0,2277.0,3747.0,55,DAVID GUERRA,13978.0,151.14999961853027,78478.0,2,LMKC AF KARTING
38,16,1123,79228.0,2429.0,750.0,11,JOSE IGNACIO RAMOS,9635.0,152.2770004272461,79380.0,2,LMKC AF KARTING
39,17,1136,80267.0,2581.0,886.0,13,JOSE IGNACIO RAMOS,10522.0,151.72599983215332,80419.0,2,LMKC AF KARTING
40,18,1147,81175.0,2733.0,756.0,11,JOSE IGNACIO RAMOS,11278.0,151.77499961853027,81327.0,2,LMKC AF KARTING
41,19,1157,82015.0,2885.0,688.0,10,JOSE IGNACIO RAMOS,11966.0,152.10800170898438,82167.0,2,LMKC AF KARTING
42,20,1169,82984.0,3036.0,816.0,12,JOSE IGNACIO RAMOS,12783.0,151.3120002746582,83135.0,2,LMKC AF KARTING
43,21,1183,84097.0,3189.0,962.0,14,JOSE IGNACIO RAMOS,13745.0,152.35599899291992,84250.0,2,LMKC AF KARTING
44,22,1202,85547.0,3340.0,1296.0,19,JUAN LUIS BAREA,13290.0,151.38899993896484,85698.0,2,LMKC AF KARTING
45,23,1214,86461.0,0.0,763.0,12,JUAN LUIS BAREA,14053.0,0.0,0.0,2,LMKC AF KARTING
46,1,94,6461.0,152.0,6461.0,94,JORGE IBARS,6461.0,152.5870018005371,6614.0,3,CVKS AUTOS DIRECT
47,2,205,14215.0,304.0,7601.0,111,CARLOS CARRASCOSA,7601.0,151.68000030517578,14366.0,3,CVKS AUTOS DIRECT
48,3,223,15608.0,455.0,1241.0,18,CARLOS SUAREZ,1241.0,151.59099960327148,15759.0,3,CVKS AUTOS DIRECT
49,4,334,23380.0,608.0,7620.0,111,CARLOS SUAREZ,8861.0,152.54399871826172,23532.0,3,CVKS AUTOS DIRECT
50,5,408,28602.0,760.0,5069.0,74,JUANJO CEBRIA,5069.0,152.16899871826172,28754.0,3,CVKS AUTOS DIRECT
51,6,464,32620.0,912.0,3865.0,56,ALVARO SEGURO,3865.0,152.02199935913086,32772.0,3,CVKS AUTOS DIRECT
52,7,504,35532.0,1064.0,2759.0,40,ALVARO SEGURO,6625.0,151.91900062561035,35684.0,3,CVKS AUTOS DIRECT
53,8,567,39965.0,1215.0,4281.0,63,JORGE IBARS,10742.0,151.29100036621094,40116.0,3,CVKS AUTOS DIRECT
54,9,604,42627.0,1367.0,2511.0,37,JORGE IBARS,13253.0,151.4109992980957,42778.0,3,CVKS AUTOS DIRECT
55,10,706,49677.0,1518.0,6898.0,102,JUANJO CEBRIA,11968.0,151.39999961853027,49829.0,3,CVKS AUTOS DIRECT
56,11,746,52561.0,1669.0,2732.0,40,CARLOS SUAREZ,11594.0,151.2490005493164,52713.0,3,CVKS AUTOS DIRECT
57,12,775,54704.0,1822.0,1991.0,29,CARLOS SUAREZ,13585.0,152.30699920654297,54856.0,3,CVKS AUTOS DIRECT
58,13,828,58507.0,1973.0,3650.0,53,ALVARO SEGURO,10275.0,151.32200050354004,58658.0,3,CVKS AUTOS DIRECT
59,14,884,62474.0,2124.0,3816.0,56,ALVARO SEGURO,14091.0,151.0310001373291,62625.0,3,CVKS AUTOS DIRECT
60,15,967,68265.0,2275.0,5640.0,83,JUANJO CEBRIA,17609.0,151.17700004577637,68417.0,3,CVKS AUTOS DIRECT
61,16,1004,70943.0,2427.0,2526.0,37,JORGE IBARS,15779.0,152.08599853515625,71095.0,3,CVKS AUTOS DIRECT
62,17,1055,74556.0,2578.0,3461.0,51,CARLOS CARRASCOSA,11062.0,151.06999969482422,74707.0,3,CVKS AUTOS DIRECT
63,18,1074,76003.0,2729.0,1295.0,19,CARLOS CARRASCOSA,12358.0,150.95499992370605,76154.0,3,CVKS AUTOS DIRECT
64,19,1134,80216.0,2880.0,4062.0,60,CARLOS CARRASCOSA,16420.0,151.14599990844727,80367.0,3,CVKS AUTOS DIRECT
65,20,1144,81055.0,3031.0,687.0,10,CARLOS SUAREZ,14273.0,150.8120002746582,81206.0,3,CVKS AUTOS DIRECT
66,21,1177,83433.0,3183.0,2227.0,33,CARLOS SUAREZ,16501.0,151.72999954223633,83585.0,3,CVKS AUTOS DIRECT
67,22,1189,84412.0,3335.0,827.0,12,ALVARO SEGURO,14919.0,151.7229995727539,84564.0,3,CVKS AUTOS DIRECT
68,23,1217,86430.0,0.0,1866.0,28,ALVARO SEGURO,16785.0,0.0,0.0,3,CVKS AUTOS DIRECT
69,1,108,7379.0,152.0,7379.0,108,JON DEL VALLE,7379.0,152.11399841308594,7531.0,4,CVKS PATRINI
